Depcom	affichage	atteinte cible	Rep_hab graph	Rep_hab	Reste (num)	Nom Com Dep	Nom Commune	Latitude	Longitude	cible	nb rep 2019 cyclistes	Number of Records	Population	Unité affichage
97406	0.314218382	0.031421838	0.314218382	0.314218382	48	La Plaine-des-Palmistes-97	La Plaine-des-Palmistes		55.644526896	63.65	2	2	6365	réponses par habitant
97405	0.2	0.008172605	0.2	0.081726054	49	Petite-Île-97	Petite-Île		55.568705084	122.36	1	1	12236	réponses par habitant
97404	0.140548138	0.014054814	0.140548138	0.140548138	48	L'Étang-Salé-97	L'Étang-Salé		55.366792780	142.3	2	2	14230	réponses par habitant
97403	0.290107340	0.029010734	0.290107340	0.290107340	48	Entre-Deux-97	Entre-Deux		55.492299279	68.94	2	2	6894	réponses par habitant
97401	0.523058147	0.052305815	0.523058147	0.523058147	44	Les Avirons-97	Les Avirons	-21.208999429	55.359148545	114.71	6	6	11471	réponses par habitant
97311	0.342473572	0.034247357	0.342473572	0.342473572	35	Saint-Laurent-du-Maroni-97	Saint-Laurent-du-Maroni	4.964743986	-53.983211366	437.99	15	15	43799	réponses par habitant
97309	0.661195597	0.066119560	0.661195597	0.661195597	34	Remire-Montjoly-97	Remire-Montjoly	4.884371286	-52.278840269	257.11	16	17	25711	réponses par habitant
97307	0.123304562	0.012330456	0.123304562	0.123304562	48	Matoury-97	Matoury	4.831793510	-52.343560981	324.4	2	4	32440	réponses par habitant
97305	0.156201187	0.015620119	0.156201187	0.156201187	49	Macouria-97	Macouria	4.982384622	-52.508439243	128.04	1	2	12804	réponses par habitant
97304	0.791795491	0.079179549	0.791795491	0.791795491	34	Kourou-97	Kourou	4.933606770	-52.766331442	265.22	16	21	26522	réponses par habitant
97302	0.742819412	0.074281941	0.742819412	0.742819412	9	Cayenne-97	Cayenne	5.021737428	-52.501251111	605.8	41	45	60580	réponses par habitant
97230	0.159846547	0.015984655	0.159846547	0.159846547	50	La Trinité-97	La Trinité	14.738636244	-60.949630689	125.12	0	2	12512	réponses par habitant
97229	0.100462126	0.010046213	0.100462126	0.100462126	50	Schœlcher-97	Schoelcher	14.644921766	-61.100038609	199.08	0	2	19908	réponses par habitant
97222	0.2	0.004300705	0.2	0.043007053	50	Le Robert-97	Le Robert	14.675210940	-60.942951876	232.52	0	1	23252	réponses par habitant
97221	0.2	0.008265146	0.2	0.082651459	50	Rivière-Salée-97	Rivière-Salée	14.526119270	-60.965212946	120.99	0	1	12099	réponses par habitant
97213	0.124455507	0.012445551	0.124455507	0.124455507	49	Le Lamentin-97	Le Lamentin	14.624760010	-60.993354981	401.75	1	5	40175	réponses par habitant
97210	0.174703005	0.017470300	0.174703005	0.174703005	50	Le François-97	Le François	14.606056472	-60.905715821	171.72	0	3	17172	réponses par habitant
97209	0.148117062	0.014811706	0.148117062	0.148117062	45	Fort-de-France-97	Fort-de-France	14.641111439	-61.069188924	810.17	5	12	81017	réponses par habitant
97207	0.2	0.005747126	0.2	0.057471264	50	Ducos-97	Ducos	14.577785138	-60.967670444	174	0	1	17400	réponses par habitant
97202	0.2	0.02	0.2	0.275254611	50	Les Anses-d'Arlet-97	Les Anses-d'Arlet	14.499359111	-61.072099398	50	0	1	3633	réponses par habitant
97120	0.2	0.006236358	0.2	0.062363580	49	Pointe-à-Pitre-97	Pointe-à-Pitre	16.238600696	-61.535718088	160.35	1	1	16035	réponses par habitant
97118	0.2	0.004130354	0.2	0.041303540	50	Petit-Bourg-97	Petit-Bourg	16.171606379	-61.657244347	242.11	0	1	24211	réponses par habitant
97117	0.2	0.004457321	0.2	0.044573211	50	Le Moule-97	Le Moule	16.320459568	-61.371898519	224.35	0	1	22435	réponses par habitant
97116	0.2	0.005784359	0.2	0.057843591	50	Morne-à-l'Eau-97	Morne-à-l'Eau	16.324021571	-61.470417696	172.88	0	1	17288	réponses par habitant
97113	0.225005625	0.022500563	0.225005625	0.225005625	46	Le Gosier-97	Le Gosier	16.225219203	-61.469877665	266.66	4	6	26666	réponses par habitant
97105	0.2	0.009778995	0.2	0.097789947	50	Basse-Terre-97	Basse-Terre	16.000464566	-61.728103296	102.26	0	1	10226	réponses par habitant
97103	0.291564079	0.029156408	0.291564079	0.291564079	47	Baie-Mahault-97	Baie-Mahault	16.251171116	-61.592935588	308.68	3	9	30868	réponses par habitant
97101	0.036859565	0.003685957	0.036859565	0.036859565	49	Les Abymes-97	Les Abymes	16.272779403	-61.501704497	542.6	1	2	54260	réponses par habitant
95680	0.146805153	0.014680515	0.146805153	0.146805153	47	Villiers-le-Bel-95	Villiers-le-Bel	49.008449416	2.403856040	272.47	3	4	27247	réponses par habitant
95652	0.2	0.019275251	0.2	0.192752506	49	Viarmes-95	Viarmes	49.123110793	2.377996760	51.88	1	1	5188	réponses par habitant
95637	1.353179973	0.135317997	1.353179973	1.353179973	29	Vauréal-95	Vauréal	49.029507338	2.024466191	162.58	21	22	16258	réponses par habitant
95628	0.2	0.02	0.2	0.831946755	49	Valmondois-95	Valmondois	49.097650072	2.180163195	50	1	1	1202	réponses par habitant
95625	0.2	0.02	0.2	0.766283525	49	Us-95	Us	49.104807683	1.957646101	50	1	1	1305	réponses par habitant
95612	0.2	0.02	0.2	0.225886605	50	Le Thillay-95	Le Thillay	49.004277001	2.469275250	50	0	1	4427	réponses par habitant
95607	1.064800730	0.106480073	1.064800730	1.064800730	24	Taverny-95	Taverny	49.026731620	2.221160672	262.96	26	28	26296	réponses par habitant
95604	0.2	0.02	0.2	0.241021933	49	Survilliers-95	Survilliers	49.105973622	2.544107428	50	1	1	4149	réponses par habitant
95598	1.607004322	0.160700432	1.607004322	1.607004322	21	Soisy-sous-Montmorency-95	Soisy-sous-Montmorency	48.988407788	2.300499783	180.46	29	29	18046	réponses par habitant
95585	0.103840363	0.010384036	0.103840363	0.103840363	44	Sarcelles-95	Sarcelles	48.990225044	2.381602727	577.81	6	6	57781	réponses par habitant
95582	1.394279685	0.139427968	1.394279685	1.394279685	18	Sannois-95	Sannois	48.971777311	2.252995141	265.37	32	37	26537	réponses par habitant
95580	0.2	0.02	0.2	0.418935903	49	Saint-Witz-95	Saint-Witz	49.085783724	2.552276150	50	1	1	2387	réponses par habitant
95574	2.499652826	0.249965283	2.499652826	2.499652826	34	Saint-Prix-95	Saint-Prix	49.020822482	2.270150665	72.01	16	18	7201	réponses par habitant
95572	0.747291070	0.074729107	0.747291070	0.747291070	33	Saint-Ouen-l'Aumône-95	Saint-Ouen-l'Aumône	49.044168345	2.128613037	240.87	17	18	24087	réponses par habitant
